price,type,title,address,gov,bathrooms,total_rooms,living_area,total_area,rooms
,vente,A vendre appartement de haut standing,L'aouina, Tunis,1,4,,,3
,vente,Villa a vendre,La Marsa, Tunis,1,,200,500,3
90 DT,vente,Vente un S+1,Le Bardo, Tunis,1,2,52,60,2
,location,Local avec 2 niveaux (RDC + 1er Etage) en face de Carrefour Market,Centre Urbain Nord, Tunis,2,,200,,
60 DT / Mois,location,Place de parking à louer,Centre Urbain Nord, Tunis,,,,10,
1 150 DT / Mois,location,S+2 hs meublé pour longue durée,Jardin De Carthage, Tunis,,3,105,,2
300 000 DT,vente,Fond de commerce passage tunis,Centre Ville - Lafayette, Tunis,,1,72,72,
330 000 DT,vente,Un plein pied à Salambo,Carthage, Tunis,2,,135,,3
650 DT / Mois,location,A louer appartement SSM +3ch La Marsa,La Marsa, Tunis,1,4,140,,3
100 000 DT,vente,A vendre Appartement spacieux au centre ville.,Sidi El Béchir, Tunis,1,3,,,2
179 000 DT,vente,Appartement au Bardo à vendre,Le Bardo, Tunis,1,5,100,,3
1 800 DT,location,Local commercial aloué,Le Bardo, Tunis,,,,,
,location,A louer une maison a cite ibn  cina,El Ouardia, Tunis,,3,,,3
1 200 DT,location,S+1 moderne dans une résidence sécurisée au Lac2,La Marsa, Tunis,1,2,,,1
3 600 DT,vente,A vendre ou a louer un fond de commerce,Centre Ville - Lafayette, Tunis,,,,,
900 DT,location,Un appartement a louer a Lafayette,Centre Ville - Lafayette, Tunis,1,5,,,5
400 DT,location,STUDIO MEUBLE  A LA MEDINA,Médina, Tunis,,2,40,,1
80 000 DT,vente,Maison a vendre,El Kabaria, Tunis,1,3,80,100,2
315 000 DT,vente,JOLI APPARTEMENT,Le Bardo, Tunis,1,5,150,,4
1 050 000 DT,vente,Occasion gammarth touristique,Gammarth, Tunis,,,,600,
210 DT,vente,A vendre s+3,L'aouina, Tunis,1,4,135,125,3
1 100 DT,location,Un joli Appartement S2 bien Meublé,La Marsa, Tunis,1,3,130,,2
1 700 DT,location,Étage spacieux à cité La Marsa El Hana,La Marsa, Tunis,1,5,,360,4
180 000 DT,vente,"Vente villa, à Wardia2 avec 2 étages et Studio",El Ouardia, Tunis,4,8,80,80,4
200 DT / Mois,location,2 كراء ،لفردين، ستوديو منعزل نحو النهج، بالوردية,El Ouardia, Tunis,1,,30,30,1
220 DT,location,Appartement meublé vue mer à Marsa Safsaf,La Marsa, Tunis,1,4,,,2
1 100 DT / Mois,location,Bel étage de villa s+2 neuf jamais habiter Marsa nassim,La Marsa, Tunis,1,3,,,2
1 700 DT,location,Appartement meublé haut standing au Lac,La Marsa, Tunis,1,2,,,1
80 DT,location,Appartement meublé au centre de La Marsa,La Marsa, Tunis,1,3,100,,2
11 111 DT,location,LOCAL INDUSTRIEL DEPOT 500m2,La Marsa, Tunis,,,500,,
300 000 DT,vente,Appartement S+4 à El Manar 2,,Tunis,1,5,150,,4
550 DT,location,Location appartement s+3,El Omrane supérieur, Tunis,1,4,90,90,3
80 DT / Nuit,location,Appartement meublé,La Marsa, Tunis,1,2,100,500,2
750 DT / Mois,location,Villa a louer,La Marsa, Tunis,2,3,200,120,3
500 DT / Mois,location,Appartement haut standing a khaznadar,Le Bardo, Tunis,,3,80,,3
,location,Maison situé à carthage Yassmina tunis,Carthage, Tunis,1,3,,,3
3 000 DT,vente,Local commercial sur le bouvard 20 mars bardo,Le Bardo, Tunis,,,255,,
,vente,Local commercial à raoued,Le Bardo, Tunis,,,,,
350 000 DT,vente,Murs de magasin à ennasr,Le Bardo, Tunis,,,,,
1 500 000 DT,vente,Terrain medina de tunis avenue bab mnara,Médina, Tunis,,,,600,
34 810 DT,vente,Reste 1 seul lot de terrains à douar hicher manouba,Le Bardo, Tunis,,,,118,
34 810 DT,vente,Reste 1 seul lot de terrains à douar hicher manouba,Le Bardo, Tunis,,,,118,
150 DT / Nuit,location,A louer Villa S+3 a Sidi Bousaid,Sidi Bou Said, Tunis,,4,150,150,3
300 DT,vente,VENTE BUREAU CENTRE VILLE TUNIS,Médina, Tunis,1,2,120,,
1 400 000 DT,vente,Une belle villa,Le Bardo, Tunis,,,400,600,
,vente,Une belle villa a bardo dans un cartier chik,Le Bardo, Tunis,1,5,236,339,5
198 000 DT,vente,Appartement S+3 à Manouba Centre (près siège gouvernorat),Le Bardo, Tunis,1,4,130,130,4
250 000 DT,vente,Un duplex a omrane supérieur,El Omrane supérieur, Tunis,1,4,140,160,4
,vente,Lot 267 m dans un loti viabilise,Agba, Tunis,,,,267,
530 DT,vente,Un lot constructible de suite d'une superficie 214 m²,Le Bardo, Tunis,,,,214,
600 DT,vente,Terrain derrière municipalité de manouba,Le Bardo, Tunis,,,,498,
240 000 DT,vente,Lot de terrain a bardo,Le Bardo, Tunis,,,,240,
450 DT,location,Etage de villa s+2,Ettahrir, Tunis,,3,80,,2
400 DT,location,S+2 a louer,Sidi Daoud, Tunis,1,3,85,,2
500 DT,vente,Location de bureaux équipés aux Berges du Lac 2,Les Berges Du Lac, Tunis,,,,,
145 DT,vente,Vente d'appartement à Cité Essadaka1 - cité Ettahrir,Ettahrir, Tunis,,4,113,113,3
80 DT,vente,Maison arabe à bab El karhba,Centre Ville - Lafayette, Tunis,1,3,133,133,3
,vente,ثلاثة طوابق و مستودع,Hraïria, Tunis,3,9,100,150,3
550 000 DT,vente,Super villa,Le Bardo, Tunis,2,5,236,339,4
97 000 DT,vente,مقاسم صالحة للبناء,Agba, Tunis,,,,180,
450 DT,location,Appartement haut standing  a khaznadar,Le Bardo, Tunis,,2,450,450,2
350 DT,vente,VENTE BUREAU CENTRE VILLE TUNIS,Médina, Tunis,1,2,120,,
1 100 DT,vente,Terrain titre bleu شهادة ملكية فردية Ain Zaghouan,Aïn Zaghouan, Tunis,,,,367,
550 DT,location,Location appartement,El Omrane supérieur, Tunis,1,4,90,90,4
100 000 DT,vente,Appartement à khaznadar,Le Bardo, Tunis,1,3,70,,2
550 DT / Mois,location,À louer ROMAna 2,El Omrane supérieur, Tunis,1,3,100,170,2
120 DT,location,Appartement meublé pour 3 étudiantes,El Omrane supérieur, Tunis,1,2,60,,1
910 000 DT,vente,Opportunité à saisir souk ezzahrouni,Ezzouhour, Tunis,,,,400,
1 650 DT,vente,Chambre a choucher,Cité El Khadra, Tunis,,,,,
4 000 DT,location,Magnifique villa jumelée au lac 2,Les Berges Du Lac, Tunis,4,6,300,,5
,vente,أرض للبيع في حي راقي في باردو,Le Bardo, Tunis,,,,,
7 000 DT,location,Villa de luxe aux les Berges de lac 2,Les Berges Du Lac, Tunis,6+,7,550,,6
80 000 000 DT,vente,BADR,El Ouardia, Tunis,1,3,75,,2
650 DT / Mois,location,Location appartemenent,El Omrane, Tunis,,2,120,,
650 DT,location,App salon plus 3 chambres,Le Bardo, Tunis,,4,120,,4
550 DT,location,A louer Appartement  Bardo Rue la marsa,Le Bardo, Tunis,1,6,80,1000,3
120 000 DT,vente,Une grande maison de deux étages,Sidi Hassine, Tunis,3,,156,,5
120 000 DT,vente,Appartement s2 tunis,Centre Ville - Lafayette, Tunis,1,6,65,,2
6 500 DT,location,Villa de luxe aux Berges de lac 2,Les Berges Du Lac, Tunis,4,8,800,,7
1 200 DT,location,A Louer au jardin de laouina près du lac,L'aouina, Tunis,1,3,100,,2
160 DT,vente,"A vendre fond de commerce  café restaurant situé au MON-PLAISIR TUNIS ,",Centre Ville - Lafayette, Tunis,,,,,
60 DT,location,Menzah9 S+1 Meublé avec garage seulement pour famille 60dinars/jour tel:54838137,Mutuelleville, Tunis,1,2,66,80,2
250 DT,location,Studio meublé à louer pour étudiant,El Omrane supérieur, Tunis,1,1,35,,1
600 DT,location,Etage de villa s+3 haut standing au cité beau séjours,Agba, Tunis,,,150,,
650 DT,location,S+2 neuf au RDC à cité el Ezz la Marsa,La Marsa, Tunis,1,3,70,70,2
4 000 DT,location,Villa magnifique avec grand jardin au centre de la marsa,La Marsa, Tunis,3,7,400,750,6
350 000 DT,vente,Villa sur 2 niveau Ezzahra,Djebel Jelloud, Tunis,2,5,180,340,5
,location,Annonce Tunisie immobilier location,Hraïria, Tunis,,,,,
,location,Tunisie annonce immobilier location,Le Kram, Tunis,,,,,
420 000 DT,vente,Grande villa 500m2 jebel jelloud,Djebel Jelloud, Tunis,,,500,,
,vente,Tunisie annonce immobilière,Ettahrir, Tunis,,,,,
110 DT,location,Appartement S+1 situé au Lac 2,Les Berges Du Lac, Tunis,,,,,
,vente,Appartements de haut standing au cœur de Bardo,Le Bardo, Tunis,1,,130,,3
110 DT,location,Appartements à Louer,Les Berges Du Lac, Tunis,1,2,90,,2
110 DT / Nuit,location,S+2 à Gammarth,Gammarth, Tunis,1,2,90,,2
638 DT / Mois,location,Offre location dépôt à charguia 1,Cité El Khadra, Tunis,,,80,80,
,location,Offre location bureaux à charguia 1,Cité El Khadra, Tunis,,,,,
320 000 DT,vente,A vendre etage de villa,Carthage, Tunis,,,,,
,vente,Pose et fabrication des plan de travail pour cuisines,Sidi Hassine, Tunis,1,1,100,100,1
,vente,Villa de Charme,Sidi Daoud, Tunis,3,,300,400,4
1 060 000 DT,vente,Duplexe avec piscine à Sidi Daoud La Marsa,Sidi Daoud, Tunis,3,,270,240,4
450 000 DT,vente,Emplacement de choix,Aïn Zaghouan, Tunis,,,,436,
1 500 DT,location,Quartier chic,Carthage, Tunis,2,,140,,3
,vente,Maison Bardo Tunis,Le Bardo, Tunis,,,,,
,vente,Maison à vendre Bardo,Le Bardo, Tunis,,,,,
,vente,Maison à vendre Bardo Tunis,Le Bardo, Tunis,,,,,
,vente,Maison prestige à vendre Tunis,Séjoumi, Tunis,,,,,4
,vente,Maison à Tunis,Ettahrir, Tunis,1,8,,,5
,vente,Maison à vendre à Tunis,El Omrane supérieur, Tunis,1,,,,5
1 800 DT / Mois,location,A louer appartement haut standing à el Menzeh 9,Mutuelleville, Tunis,1,,110,,2
350 DT,location,Studio a louer a La Marsa,La Marsa, Tunis,,2,40,,1
165 000 DT,vente,DERNIERS APPARTEMENTS DISPONIBLES de la résidence Jnaynet Montfleury !!,Sidi El Béchir, Tunis,1,,100,,3
,vente,DERNIERS APPARTEMENTS DISPONIBLES de la résidence Jnaynet Montfleury !!,Sidi El Béchir, Tunis,1,,90,,2
650 DT,location,S+1 sans vis-à-vis aux jardins de carthage,Jardin De Carthage, Tunis,1,2,50,,1
380 000 DT,vente,Maison arabe + boutique + appartement indépendant à beb souika,Médina, Tunis,2,10+,225,225,8
70 000 000 DT,vente,Maison a cité zayatin,L'aouina, Tunis,,,105,,
190 000 DT,vente,Appartement et terrasse privée,Centre Ville - Lafayette, Tunis,1,4,161,,3
,vente,FOND DE COMMERCE EN FACE DE BARDO CENTRE,Le Bardo, Tunis,,,,,
85 000 DT,vente,فرصة دار للبيع,Sidi Hassine, Tunis,3,5,100,100,2
620 DT,location,Studio a louer,Centre Ville - Lafayette, Tunis,1,2,65,65,2
1 900 DT,location,Appart s3 hs la marsa,La Marsa, Tunis,2,5,187,220,3
330 000 DT,vente,Terrain wra baladiayet manouba,Le Bardo, Tunis,,,,571,
,vente,Lot de terrain a bardo,Le Bardo, Tunis,,,,240,
600 DT,location,étage de villa nouvellement construit,Agba, Tunis,1,4,130,300,3
,location,Appartement haut standing bardo 2,Le Bardo, Tunis,1,2,60,60,2
650 000 DT,vente,APPARTEMENT HAUT STANDING AU CENTRE VILLE LAFAYETTE,Centre Ville - Lafayette, Tunis,2,5,202,50,4
130 DT,location,COLOCATION STUDIO,Sidi Bou Said, Tunis,,,,,
350 DT,vente,Terrain a vendre المنيهلة اريانة,El Omrane supérieur, Tunis,,,,210,
,vente,Terrain,El Omrane supérieur, Tunis,,,,110,
950 000 000 DT,vente,Villa haute standing à Mornaguia,Centre Ville - Lafayette, Tunis,1,,0,0,3
110 DT,vente,Terrain nu  la marsa,La Marsa, Tunis,,,,,
250 000 DT,vente,Duplex meziyen,Le Bardo, Tunis,1,4,140,140,3
,vente,Belle villa a bardo dans un cartier chik:,Le Bardo, Tunis,2,6,300,339,4
900 DT,location,Un beaux appartement,L'aouina, Tunis,1,1,70,70,1
100 DT,location,S+3 Meublé à Kheireddine,La Goulette, Tunis,2,4,150,300,2
380 DT,location,Maison a louer à ibn khaldoun tounés,Centre Urbain Nord, Tunis,,,,,
900 DT,location,Beau s+1 meublé,Centre Ville - Lafayette, Tunis,1,,87,,
850 DT,vente,Un joli s+2 à l'aouina,L'aouina, Tunis,1,,100,,
850 DT,location,Joli appartement s+2 à l'aouina,L'aouina, Tunis,1,3,100,,2
110 000 000 DT,vente,Maison deux etages,Sidi Hassine, Tunis,,,,,
8 116 900 DT,vente,Terrain de 7379 sur route principale GP9 au berges du lac 1,Les Berges Du Lac, Tunis,,,,,
100 DT,vente,Appartement à vendre Passage.tunis,Centre Ville - Lafayette, Tunis,1,,100,,4
11 111 100 DT,vente,Terrain pour promoteur,L'aouina, Tunis,,,,5241,
,vente,A vendre - immeuble R+3 - Marsa ville,La Marsa, Tunis,3,,258,,6
160 000 DT,vente,En vente appartement à El Aouina,L'aouina, Tunis,1,1,74,,1
113 DT / Mois,location,Chambre à louer,Cité El Khadra, Tunis,1,3,,,2
900 DT,location,Bureau S+2 de 100 m² au RDC sur l'avenue de la bourse au Lac1,Les Berges Du Lac, Tunis,,3,100,,
530 000 DT,vente,Vente duplex,Aïn Zaghouan, Tunis,2,5,286,286,4
,vente,Architecture & Décoration,Centre Ville - Lafayette, Tunis,,,,,
,location,Promoteurs immobilier Tunis,Carthage, Tunis,2,6,,,3
550 000 DT,vente,Vente Appartement à la Marsa,La Marsa, Tunis,2,3,130,,2
350 000 DT,vente,Vente Duplex à Sidi Daoud,La Marsa, Tunis,2,4,145,,3
400 000 DT,vente,A vendre immeuble commercial,La Marsa, Tunis,,,170,,
,vente,A Vendre une Pizzeria,Centre Ville - Lafayette, Tunis,,,25,,
,location,Location d'une maison,Mutuelleville, Tunis,,4,,,3
,vente,دار و سانية للبيع,Sidi Hassine, Tunis,,,,1500,
120 DT,location,Studio meublé,Le Bardo, Tunis,1,5,100,100,3
800 DT,location,Un dèpôt a louer.,Gammarth, Tunis,1,,130,130,
350 DT / Mois,location,App à Bardo khaznadar,Le Bardo, Tunis,,2,60,100,2
285 DT,vente,Appartemet a vendre,Gammarth, Tunis,1,3,110,,3
270 DT,vente,MAISON  R+1 +Garage 270 000 MD Ezzouhour 4 Tunis,Ezzouhour, Tunis,2,7,234,230,5
,location,Location vacances à sidi bou said,Sidi Bou Said, Tunis,1,1,30,30,1
985 000 DT,vente,Grande villa à cité Romana 2,El Omrane supérieur, Tunis,3,8,410,900,5
265 000 DT,vente,Grand duplex à Ezzouhour 3,Ezzouhour, Tunis,1,4,100,190,3
585 DT,location,A louer un bel appartement,L'aouina, Tunis,1,1,100,,1
,location,à louer centre ville-lafayette,Centre Ville - Lafayette, Tunis,,3,80,,3
285 DT,vente,A vendre appartement,Gammarth, Tunis,1,3,110,110,3
150 000 DT,vente,Terrain bâtie  vendre,Gammarth, Tunis,,,,238,
75 DT,vente,À vendre à sidi hssin,Sidi Hassine, Tunis,1,,90,90,3
160 000 DT,vente,3 appartements à beb souika nahej lahdid,Médina, Tunis,1,7,51,51,3
80 DT,location,Appartements à l'aouina par nuité,L'aouina, Tunis,,,,,
600 000 000 DT,vente,AV À LA GOULETTE TUNISIE,La Goulette, Tunis,,,,,
1 500 DT / Mois,location,Spacieux appartement neuf,Centre Urbain Nord, Tunis,,3,135,,2
1 700 DT / Mois,location,"Bureau De 101 M² Au CUN,Imm Golden Towers",Centre Urbain Nord, Tunis,,4,101,,
,vente,"A Louer, Belle et spacieuse Villa meublée",Les Berges Du Lac, Tunis,2,7,250,250,4
,vente,A VENDRE 3 APPARTEMENTS HAUT STANDING A LA MARSA – CITE EL KHALIL,La Marsa, Tunis,1,,90,,3
,vente,"A vendre un appartement, à Aïn Zaghouan, cité el wahat, La Soukra",Aïn Zaghouan, Tunis,2,4,120,,3
330 DT / Mois,location,Maison à louer,El Ouardia, Tunis,,2,70,90,2
900 DT,location,A louer a la goulette,La Goulette, Tunis,1,3,95,,2
39 DT / Mois,location,Domiciliation,Centre Ville - Lafayette, Tunis,,,,,
1 300 DT / Semaine,location,Etage de villa à la Marsa,La Marsa, Tunis,1,4,180,400,3
750 DT / Semaine,location,Appartement à la Marsa,La Marsa, Tunis,1,3,65,,2
1 500 DT / Semaine,location,Maison Meublée à Kheireddine,La Marsa, Tunis,1,,200,600,3
340 000 DT,vente,Triplex  à le kram ne ratez pas,Le Kram, Tunis,3,9,140,140,8
208 000 DT,vente,Appartement sis  à la soukra trés jolie,Aïn Zaghouan, Tunis,2,,106,106,2
200 000 DT,vente,Appartement à ain zaghouen en promo,Aïn Zaghouan, Tunis,2,4,120,120,3
2 700 DT / Mois,location,Rdc de villa meublé la marsa plage,La Marsa, Tunis,2,4,,,3
2 000 DT / Semaine,location,Villa pied dans l'eau à  kelibia,Cité Olympique, Tunis,1,4,280,380,4
,location,Des appartements meubles a louer a laouina et hay el wahat,L'aouina, Tunis,,,,,
178 000 DT,vente,Applez 51050148 appartement lux,Aïn Zaghouan, Tunis,,,,,
215 000 DT,vente,Spacieuse  appartement bon emplacement,Aïn Zaghouan, Tunis,1,4,120,120,3
780 000 DT,vente,VILLA BARDO CENTRE,Le Bardo, Tunis,1,,400,,4
420 000 DT,vente,Duplex S +4 Ain Zaghouan,Aïn Zaghouan, Tunis,3,5,175,200,4
1 200 DT / Mois,location,S+4 Ain zaghouan,Aïn Zaghouan, Tunis,3,5,240,,5
800 DT / Mois,location,S+3 Ain zaghouan,Aïn Zaghouan, Tunis,1,4,133,,3
185 000 DT,vente,Appartement haut standing  S+2,Cité Olympique, Tunis,,3,100,100,
600 000 DT,vente,A VENDRE APPARTEMENT CENTRE URBAIN,Centre Urbain Nord, Tunis,2,,175,,3
950 000 DT,vente,Maison 414m²,Le Bardo, Tunis,,,414,,
2 000 DT,vente,Vendre un terrain à Carthage hannibal,Carthage, Tunis,,,,3000,
75 000 DT,vente,A vendre,Le Kram, Tunis,,2,42,42,1
78 000 DT,vente,Appartement centre ville lafayette,Centre Ville - Lafayette, Tunis,,4,70,,2
180 DT,vente,Appartement d rêve,La Marsa, Tunis,,,104,,
560 000 DT,vente,Duplex haut standing,La Marsa, Tunis,3,4,154,169,3
160 DT,vente,Maison a deux étages a ouardia lacania,El Ouardia, Tunis,2,7,90,90,6
,vente,Appartement à Ain zaghouane,Aïn Zaghouan, Tunis,,,120,,
1 400 DT / Nuit,location,"App.au 1er Etage , S+3 jardin de carthage",Jardin De Carthage, Tunis,1,3,178,178,3
2 000 000 DT,vente,Immeuble à lafayette,Centre Ville - Lafayette, Tunis,,4,236,270,3
145 000 DT,vente,Appartement à cité diar ben Mahmoud el agba,Agba, Tunis,1,5,103,,3
75 000 DT,vente,للبيع منزل ذو طابقين بسيدي حسين,Sidi Hassine, Tunis,1,4,90,,3
25 000 DT,vente,Terrain a vendre,Carthage, Tunis,,,,2500,
110 000 DT,vente,Appartement à Lafayet,Centre Ville - Lafayette, Tunis,,3,60,,3
41 000 DT,vente,Terrain nu à Borj Chakir,Sidi Hassine, Tunis,,,,182,
550 DT / Mois,location,Appartements 90m2 à Tunis Ettahrir,Ettahrir, Tunis,1,3,90,,2
1 400 DT / Mois,location,Appartements 110m2 à Tunis La Marsa,La Marsa, Tunis,1,3,110,,2
600 DT / Mois,location,Appartements 70m2 à Tunis Centre Ville - Lafayette,Centre Ville - Lafayette, Tunis,1,3,70,,2
1 830 DT,vente,Emplacement idéal,Centre Ville - Lafayette, Tunis,,,,854,
60 DT / Nuit,location,Apprt de 60m2,La Marsa, Tunis,,,,,
430 000 DT,vente,Duplex,La Marsa, Tunis,4,7,200,202,4
75 DT,vente,للبيع منزل بسيدي حسين الثمن75الف,Sidi Hassine, Tunis,1,4,90,90,3
175 000 DT,vente,Terrain forsa,Gammarth, Tunis,,,,175,
1 200 000 DT,vente,Terrain lac 1,Les Berges Du Lac, Tunis,,,,7379,
3 500 DT,location,Bien à Marsa Corniche à la Location,La Marsa, Tunis,2,4,180,,3
,vente,Terrain à la vente à l'Aouina,L'aouina, Tunis,,,,,
,vente,L’Agence Bat’Immo vous propose un terrain,Sidi Daoud, Tunis,,,,,
1 250 000 000 DT,vente,Villa d'artiste,Gammarth, Tunis,2,4,400,200,6
420 000 DT,vente,Lot de terrain à gammarth,Gammarth, Tunis,,,,300,
580 DT,vente,Villa cité ETTAWFIK  tunis kasbah,Médina, Tunis,1,8,180,310,3
500 DT,vente,Terrain a vendre,La Marsa, Tunis,,,,25000,
350 DT / Mois,location,Local Commercial à Bab Souika,Centre Ville - Lafayette, Tunis,,,18,,
,vente,À vendre un bel appartement spacieux Manar 1,Médina, Tunis,,4,105,,3
145 DT,vente,Appartement,El Omrane supérieur, Tunis,1,5,96,96,3
,vente,Villa a montfleury,Sidi El Béchir, Tunis,1,4,,430,3
730 DT / Mois,location,Appartement s2 à cité el wahatte,Centre Ville - Lafayette, Tunis,,3,,,2
500 DT / Mois,location,Appartement pas loin au passage a 9avril,Mutuelleville, Tunis,,,,,
,location,Maison à EL-Omrane superieur 1 ére main,El Omrane supérieur, Tunis,1,5,180,,3
800 DT / Mois,location,A louer appartement Meublé,Aïn Zaghouan, Tunis,1,3,85,,2
2 000 DT / Mois,location,Dépot de stokage,Sidi Hassine, Tunis,,,400,,
1 800 DT / Mois,location,"LAC II, Résidence Dar Al-Hana Appartement A22 de haut standing située au deuxième étage",Les Berges Du Lac, Tunis,1,4,118,158,3
62 000 DT,vente,Appartements 60m2 à Tunis Centre Ville bab souika,Mutuelleville, Tunis,1,3,60,,2
,vente,Fond de comerce salon de coiffures avec matériel,Mutuelleville, Tunis,,,,,
,vente,TERRAIN 296 m2 à Séjoumi,Séjoumi, Tunis,,,,,
400 DT / Mois,location,Appartement 80m2 à Tunis El Omrane,El Omrane supérieur, Tunis,1,3,80,,2
730 DT / Mois,location,Appartement au rez de chaussée le Bardo 120m2,Le Bardo, Tunis,1,3,120,,2
,location,Etage villa S2 à Tunis Le Bardo,Le Bardo, Tunis,,,,,2
670 000 DT,vente,Appartement à Marsa Plage,La Marsa, Tunis,2,4,225,,3
1 500 DT / Mois,location,Etage de villa à la Marsa,La Marsa, Tunis,2,4,230,,3
850 DT / Semaine,location,Location,Le Bardo, Tunis,2,5,,,3
550 DT / Mois,location,Appartement a louer,Le Bardo, Tunis,,3,,,2
,location,Appartement - Lafayette,Centre Ville - Lafayette, Tunis,1,1,,,1
,location,S1 meublé courte ou longue duree,L'aouina, Tunis,1,2,70,,1
450 DT,location,Appartements 70m2 à Centre Ville - Lafayette,Centre Ville - Lafayette, Tunis,1,4,70,,3
580 DT,location,Studio meublé neuf indépendant,El Omrane, Tunis,1,2,70,100,2
2 450 000 DT,vente,Lot 810m2 Sidi daoued sur la route principal de la Marsa,Sidi Daoud, Tunis,,,,,
2 300 DT / Mois,location,Un bureau aux rez de,Les Berges Du Lac, Tunis,2,5,120,,
400 DT / Mois,location,Maison a louer,Médina, Tunis,1,3,,,2
250 000 DT,vente,S+2 Direct promoteur,La Goulette, Tunis,1,3,96,,2
349 000 DT,vente,Appartements deuxième main,Les Berges Du Lac, Tunis,,4,156,,3
,vente,A vendre,Centre Ville - Lafayette, Tunis,,,,250,
600 DT / Mois,location,A louer,Les Berges Du Lac, Tunis,,,50,,3
600 DT / Mois,location,Villa 370m2 à Tunis El Ouardia,El Ouardia, Tunis,1,3,,370,2
,location,Une boutique,Centre Ville - Lafayette, Tunis,,,27,,
,location,منزل بحي الزياتين,El Omrane, Tunis,1,3,102,,2
750 DT / Mois,location,Appartements 137m2 à Tunis Aïn Zaghouan,Aïn Zaghouan, Tunis,1,4,137,,3
500 000 DT,vente,دار في مدينة باردو,Le Bardo, Tunis,1,5,360,,4
,location,Une maison à ezzouhour,Ezzouhour, Tunis,,,86,,
2 500 DT / Mois,location,Bureau 75m2,Mutuelleville, Tunis,,2,75,,
650 DT / Mois,location,Magasin sur autoroute la marsa,Sidi Daoud, Tunis,,,22,,
98 DT,vente,Appartement a montfleury,Sidi El Béchir, Tunis,,3,90,70,3
200 DT,vente,Vente appt S+2,Aïn Zaghouan, Tunis,1,,100,,
70 DT / Mois,location,Domiciliation professionnelle a tunis,Cité El Khadra, Tunis,,,,,
,vente,Vend triplex complexe immobilier Carthagena,L'aouina, Tunis,2,8,275,,4
,vente,Vend lot de Terrain Zone Touristique Gammarth,Gammarth, Tunis,,,,666,
750 DT / Mois,location,Maison 50m2 à Sidi Daoud,Sidi Daoud, Tunis,,2,50,,1
700 DT / Mois,location,Appartement 70m2 à Tunis La Marsa,La Marsa, Tunis,1,3,70,,2
350 DT / Mois,location,Appartement 60m2 à Tunis El Omrane,El Omrane, Tunis,1,2,60,,1
1 600 DT / Mois,location,Appartement 90m2 à Tunis La Marsa,La Marsa, Tunis,1,4,90,,3
750 DT / Mois,location,Dépôt au centre ville Tunis,Mutuelleville, Tunis,,,110,,
,location,Appartement 80m2 à Tunis Le Bardo,Le Bardo, Tunis,1,3,,,2
135 000 DT,vente,Appartement deux chambres elhaffssya,Médina, Tunis,2,3,120,120,3
800 DT,location,Lokation,La Marsa, Tunis,,4,120,,3
1 400 DT / Mois,location,Appartement S3  150m2 Jardins De Carthage,Jardin De Carthage, Tunis,1,4,150,,3
1 500 DT / Mois,location,Appartement S3 au carré du lac 1,Les Berges Du Lac, Tunis,1,4,,,3
1 700 DT / Mois,location,Un Duplex S4 à Cité El Khalil La Marsa,La Marsa, Tunis,1,4,,,3
4 000 DT / Mois,location,Local commercial pour café,Centre Ville - Lafayette, Tunis,,,,,
750 DT / Mois,location,Bureaux 130m2,Centre Ville - Lafayette, Tunis,1,4,130,,
70 DT / Mois,location,Domiciliation sarl ou suarl,Centre Urbain Nord, Tunis,,,,,
700 DT / Mois,location,Duplex à Boumhel,Carthage, Tunis,1,3,140,,2
,vente,Studio à Tunis Ettahrir,Ettahrir, Tunis,1,3,,,2
75 DT,vente,Une maison 90M à sidi hssine,Sidi Hassine, Tunis,1,5,90,90,3
,vente,Maison,Sidi Hassine, Tunis,1,4,90,,3
425 000 DT,vente,Villa inachevé la Marsa,La Marsa, Tunis,3,8,200,300,5
2 300 000 DT,vente,Villa 500m2 à La Marsa Plage,La Marsa, Tunis,2,10+,,500,8
,vente,قطعتي أرض للبيع,Sidi Hassine, Tunis,,,,340,
260 000 DT,vente,Maison 200m2 à Ezzouhour,Ezzouhour, Tunis,1,4,200,,3
550 000 DT,vente,Villas Gammarth,Gammarth, Tunis,2,6,150,380,
60 DT / Mois,location,Domiciliation à Tunis,Cité El Khadra, Tunis,,,,,
50 DT / Mois,location,DOMICILIATION VOTRE SARL,Centre Ville - Lafayette, Tunis,,,,,
470 000 DT,vente,Maison 664m2 à Sfax Route Teniour,Carthage, Tunis,1,6,230,664,5
70 DT / Mois,location,Domiciliation des entreprises chez TLC,Centre Ville - Lafayette, Tunis,,2,60,,
400 DT / Mois,location,S+1 a louer,La Marsa, Tunis,1,3,75,0,2
190 000 DT,vente,للبيع دار عربي في منطقة السيدة المنوبية,Sidi El Béchir, Tunis,1,,190,190,6
500 DT,vente,LA PERCEE VERTE,Carthage, Tunis,1,,200,,
,location,A louer appartements meublés,L'aouina, Tunis,1,3,120,,2
1 900 DT / Mois,location,Lac2 appartement unique en style,Les Berges Du Lac, Tunis,1,2,135,128,1
3 500 000 DT,vente,Terrain à vendre au Lac 2,Carthage, Tunis,,,,1250,
912 600 DT,vente,Terrain à vendre à La soukra,Gammarth, Tunis,,,,845,
915 000 DT,vente,Opportunité villas neuves avec piscine,Gammarth, Tunis,1,4,330,450,3
